age,sex,type,name,affiliates,contributors,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
80,2,DB,Transicion,0,0,"15,689","7,503",287,"4,489","29,843","5,694"
81,2,DB,Transicion,0,0,"14,892","7,389",333,"4,417","30,714","5,572"
82,2,DB,Transicion,0,0,"12,386","7,186",293,"3,837","27,984","5,486"
83,2,DB,Transicion,0,0,"11,350","7,095",184,"3,828","27,528","5,363"
84,2,DB,Transicion,0,0,"9,730","6,898",190,"3,698","25,187","5,414"
85,2,DB,Transicion,0,0,"8,774","6,757",155,"4,130","23,708","5,270"
86,2,DB,Transicion,0,0,"7,580","6,747",163,"3,606","22,343","5,083"
87,2,DB,Transicion,0,0,"6,546","6,584",78,"2,954","19,311","5,153"
88,2,DB,Transicion,0,0,"5,386","6,285",76,"2,736","17,190","5,006"
89,2,DB,Transicion,0,0,"4,566","6,234",57,"3,124","14,891","4,983"
90,2,DB,Transicion,0,0,"3,554","6,200",56,"2,892","12,516","4,880"
91,2,DB,Transicion,0,0,"3,460","6,150",41,"2,668","12,072","4,856"
92,2,DB,Transicion,0,0,"2,579","6,187",26,"3,821","9,010","4,854"
93,2,DB,Transicion,0,0,"2,092","5,963",17,"2,993","7,071","4,853"
94,2,DB,Transicion,0,0,"1,597","5,707",40,"5,518","5,688","4,663"
95,2,DB,Transicion,0,0,"1,212","5,408",21,"2,787","4,504","4,612"
96,2,DB,Transicion,0,0,914,"5,499",11,"3,329","3,737","4,544"
97,2,DB,Transicion,0,0,719,"5,326",14,"2,770","2,686","4,529"
98,2,DB,Transicion,0,0,532,"5,089",4,"3,417","1,808","4,537"
99,2,DB,Transicion,0,0,432,"5,148",6,"3,263","1,379","4,486"
100,2,DB,Transicion,0,0,297,"4,795",5,"16,243",883,"4,447"
101,2,DB,Transicion,0,0,195,"4,946",1,821,688,"4,324"
102,2,DB,Transicion,0,0,78,"7,785",2,"3,646",288,"4,587"
103,2,DB,Transicion,0,0,87,"5,058",0,0,242,"4,782"
104,2,DB,Transicion,0,0,36,"4,428",0,0,144,"4,303"
105,2,DB,Transicion,0,0,14,"4,452",0,0,80,"4,363"
106,2,DB,Transicion,0,0,12,"9,323",0,0,58,"4,083"
107,2,DB,Transicion,0,0,11,"4,674",0,0,34,"4,143"
108,2,DB,Transicion,0,0,20,"4,692",0,0,18,"4,119"
109,2,DB,Transicion,0,0,0,0,0,0,8,"3,952"
110,2,DB,Transicion,0,0,0,0,0,0,0,0
