age,sex,type,name,affiliates,contributors,iacc,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
81,2,DC,Afores,0,0,0,187,"4,881",2,"7,620",165,"4,784"
82,2,DC,Afores,0,0,0,172,"4,880",1,"8,363",129,"4,770"
83,2,DC,Afores,0,0,0,151,"4,882",1,"7,146",119,"4,702"
84,2,DC,Afores,0,0,0,96,"4,853",1,"7,213",115,"4,510"
85,2,DC,Afores,0,0,0,34,"4,864",1,"14,478",88,"4,498"
86,2,DC,Afores,0,0,0,42,"4,878",0,"7,146",84,"4,519"
87,2,DC,Afores,0,0,0,42,"4,875",0,"20,653",68,"4,286"
88,2,DC,Afores,0,0,0,5,"4,779",1,"7,151",67,"4,282"
89,2,DC,Afores,0,0,0,16,"4,863",0,"9,016",52,"4,713"
90,2,DC,Afores,0,0,0,10,"4,856",1,"9,189",44,"4,533"
91,2,DC,Afores,0,0,0,3,"4,856",0,0,44,"4,383"
92,2,DC,Afores,0,0,0,0,0,0,0,34,"4,594"
93,2,DC,Afores,0,0,0,3,"4,901",0,"11,035",30,"4,275"
94,2,DC,Afores,0,0,0,0,0,0,0,25,"4,390"
95,2,DC,Afores,0,0,0,3,"4,900",0,0,20,"5,021"
96,2,DC,Afores,0,0,0,0,0,0,0,23,"4,206"
97,2,DC,Afores,0,0,0,0,0,0,0,21,"4,944"
98,2,DC,Afores,0,0,0,0,0,0,"12,331",14,"4,426"
99,2,DC,Afores,0,0,0,0,0,0,0,16,"4,247"
100,2,DC,Afores,0,0,0,0,0,0,0,9,"4,413"
101,2,DC,Afores,0,0,0,0,0,0,0,9,"4,226"
102,2,DC,Afores,0,0,0,0,0,0,0,6,"3,796"
103,2,DC,Afores,0,0,0,0,0,0,0,9,"5,533"
104,2,DC,Afores,0,0,0,0,0,0,0,4,"4,680"
105,2,DC,Afores,0,0,0,0,0,0,0,2,"5,104"
106,2,DC,Afores,0,0,0,0,0,0,0,2,"3,792"
107,2,DC,Afores,0,0,0,0,0,0,0,2,"4,243"
108,2,DC,Afores,0,0,0,0,0,0,0,1,"5,186"
109,2,DC,Afores,0,0,0,0,0,0,0,1,"3,608"
110,2,DC,Afores,0,0,0,0,0,0,0,0,0
